Course-type,Title,Institution,City,Subject,Language,Language level,Beginning,Application deadline,Preparation for,Preparation for subject groups,Teaching language,Financial support,Specific support for int. students and doctoral candidates,Structured research and supervision,Scholarships,Fully online,Hybrid,Partly online,Fully on-site,Costs (Taka),Tuition fees (Taka per semester),Duration (Semesters),Duration (Months),Duration (Years),Course enroll End Date,Course enroll Start Date,Registration Deadline
Short course and language course , 13th Current Literature – Here's What Germany Reads , Martin Luther University Halle-Wittenberg , Lutherstadt Wittenberg,"German Language and Literature (German, Germanic Languages except English)",German,"German: B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,87141.6,,,,,27/06/2024,02/06/2024,19/04/2024
Short course and language course , 26th International Summer Academy Sans Souci 2024 | ISAS , University of Potsdam , Potsdam,"German Language and Literature (German, Germanic Languages except English)",German,"German: B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,90772.5,,,,,30/08/2024,07/08/2024,14/06/2024
Language course , 28th International Summer Academy , Martin Luther University Halle-Wittenberg , Lutherstadt Wittenberg,German Language Course (including Literature and Culture Studies),German,"German: A2, B1, B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,87141.6,,,,,27/06/2024,02/06/2024,19/04/2024
Language course , 32nd International Summer Language School , Osnabrück University of Applied Sciences , Osnabrück,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,107716.7,,,,,16/09/2024,19/08/2024,
Short course and language course , 51st Trier International Summer School: Germany and its Neighbouring Countries 2024 , Trier University , Trier,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,90772.5,,,,,30/08/2024,05/08/2024,15/07/2024
Language course , 6th International Winter Academy , Martin Luther University Halle-Wittenberg , Lutherstadt Wittenberg,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,No,No,No,No,Yes,87141.6,,,,,29/02/2024,04/02/2024,05/01/2024
Language course , 75th International Summer Course: Germany Today , Kiel University , Kiel,German Language Course (including Literature and Culture Studies),German,"German: B1, B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,163390.5,,,,,09/08/2024,15/07/2024,15/05/2024
Short course , 7th Solar Winter School , SRH Berlin University of Applied Sciences , Berlin,Engineering in general,English,"English: B2, C1",,No application deadline,,,,No,No,No,No,No,No,Yes,No,114978.5,,,,,10/03/2024,26/02/2024,
PhD / Doctorate , a.r.t.e.s. Graduate School for the Humanities Cologne , University of Cologne , Köln,Languages and Cultural Studies in general,German,,Summer semester,All applicants for the structured doctoral programme must apply by the end of October for the following summer semester. The exact date is …,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
PhD / Doctorate , Abbe School of Photonics – PhD/Doctoral Programme , Friedrich Schiller University Jena , Jena,"Physics, Astronomy",English,,Any time,Check for current openings on our website www.asp.uni-jena.de/open_positions and apply within the stated deadlines. We also …,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
